"Countries","Lat","Long","data","cases","deaths"
"Brazil",-14.235,-51.9253,2020-03-17,321,1
"Brazil",-14.235,-51.9253,2020-03-18,372,3
"Brazil",-14.235,-51.9253,2020-03-19,621,6
"Brazil",-14.235,-51.9253,2020-03-20,793,11
"Brazil",-14.235,-51.9253,2020-03-21,1021,15
"Brazil",-14.235,-51.9253,2020-03-22,1546,25
"Brazil",-14.235,-51.9253,2020-03-23,1924,34
"Brazil",-14.235,-51.9253,2020-03-24,2247,46
"Brazil",-14.235,-51.9253,2020-03-25,2554,59
"Brazil",-14.235,-51.9253,2020-03-26,2985,77
"Brazil",-14.235,-51.9253,2020-03-27,3417,92
"Brazil",-14.235,-51.9253,2020-03-28,3904,111
"Brazil",-14.235,-51.9253,2020-03-29,4256,136
"Brazil",-14.235,-51.9253,2020-03-30,4579,159
"Brazil",-14.235,-51.9253,2020-03-31,5717,201
"Brazil",-14.235,-51.9253,2020-04-01,6836,240
"Brazil",-14.235,-51.9253,2020-04-02,8044,324
"Brazil",-14.235,-51.9253,2020-04-03,9056,359
"Brazil",-14.235,-51.9253,2020-04-04,10360,445
"Brazil",-14.235,-51.9253,2020-04-05,11130,486
"Brazil",-14.235,-51.9253,2020-04-06,12161,564
"Brazil",-14.235,-51.9253,2020-04-07,14034,686
"Brazil",-14.235,-51.9253,2020-04-08,16170,819
"Brazil",-14.235,-51.9253,2020-04-09,18092,950
"Brazil",-14.235,-51.9253,2020-04-10,19638,1057
"Brazil",-14.235,-51.9253,2020-04-11,20727,1124
"Brazil",-14.235,-51.9253,2020-04-12,22192,1223
"Brazil",-14.235,-51.9253,2020-04-13,23430,1328
"Brazil",-14.235,-51.9253,2020-04-14,25262,1532
"Brazil",-14.235,-51.9253,2020-04-15,28320,1736
"Brazil",-14.235,-51.9253,2020-04-16,30425,1924
"Brazil",-14.235,-51.9253,2020-04-17,33682,2141
"Brazil",-14.235,-51.9253,2020-04-18,36658,2354
"Brazil",-14.235,-51.9253,2020-04-19,38654,2462
"Brazil",-14.235,-51.9253,2020-04-20,40743,2587
"Brazil",-14.235,-51.9253,2020-04-21,43079,2741
"Brazil",-14.235,-51.9253,2020-04-22,45757,2906
"Brazil",-14.235,-51.9253,2020-04-23,50036,3331
"Brazil",-14.235,-51.9253,2020-04-24,54043,3704
"Brazil",-14.235,-51.9253,2020-04-25,59324,4057
"Brazil",-14.235,-51.9253,2020-04-26,63100,4286
"Brazil",-14.235,-51.9253,2020-04-27,67446,4603
"Brazil",-14.235,-51.9253,2020-04-28,73235,5083
"Brazil",-14.235,-51.9253,2020-04-29,79685,5513
"Brazil",-14.235,-51.9253,2020-04-30,87187,6006
"Brazil",-14.235,-51.9253,2020-05-01,92202,6412
"Brazil",-14.235,-51.9253,2020-05-02,97100,6761
"Brazil",-14.235,-51.9253,2020-05-03,101826,7051
"Brazil",-14.235,-51.9253,2020-05-04,108620,7367
"Brazil",-14.235,-51.9253,2020-05-05,115455,7938
"Brazil",-14.235,-51.9253,2020-05-06,126611,8588
"Brazil",-14.235,-51.9253,2020-05-07,135773,9190
"Brazil",-14.235,-51.9253,2020-05-08,146894,10017
"Brazil",-14.235,-51.9253,2020-05-09,156061,10656
"Brazil",-14.235,-51.9253,2020-05-10,162699,11123
"Brazil",-14.235,-51.9253,2020-05-11,169594,11653
"Brazil",-14.235,-51.9253,2020-05-12,178214,12461
"Brazil",-14.235,-51.9253,2020-05-13,190137,13240
"Brazil",-14.235,-51.9253,2020-05-14,203165,13999
"Brazil",-14.235,-51.9253,2020-05-15,220291,14962
"Brazil",-14.235,-51.9253,2020-05-16,233511,15662
"Brazil",-14.235,-51.9253,2020-05-17,241080,16118
"Brazil",-14.235,-51.9253,2020-05-18,255368,16853
"Brazil",-14.235,-51.9253,2020-05-19,271885,17983
"Brazil",-14.235,-51.9253,2020-05-20,294624,19059
"Brazil",-14.235,-51.9253,2020-05-21,312761,20128
"Brazil",-14.235,-51.9253,2020-05-22,334568,21159
"Brazil",-14.235,-51.9253,2020-05-23,351565,22205
"Brazil",-14.235,-51.9253,2020-05-24,366033,22863
"Brazil",-14.235,-51.9253,2020-05-25,378840,23590
"Brazil",-14.235,-51.9253,2020-05-26,395167,24644
"Brazil",-14.235,-51.9253,2020-05-27,415366,25705
"Brazil",-14.235,-51.9253,2020-05-28,443703,26895
"Brazil",-14.235,-51.9253,2020-05-29,470593,28032
"Brazil",-14.235,-51.9253,2020-05-30,502914,28896
"Brazil",-14.235,-51.9253,2020-05-31,516137,29367
"Brazil",-14.235,-51.9253,2020-06-01,531286,30108
