Company,Company Score,Job Title,Date,Salary,Skills,Estimation Type,Remote,City,Country
Razorpoint,3.4,Junior Data Scientist,3.0,35000.0,"Data mining, Big data, R, Data analysis skills, Java",Employer est.,Onsite,Manchester,England
tower Hamlets,3.7,Assistant Data Scientist (Graduate) | R-2375,5.0,64480.0,"R, SQL, JavaScript, Python",Employer est.,Onsite,London,England
TW,4.0,Data Scientist,31.0,57500.0,"SQL, Maths, Data science, Python",Employer est.,Onsite,Nottingham,England
NatWest Group,4.6,Data Scientist,2.0,47500.0,"Software deployment, Data analysis skills, Statistical analysis, Maths, Machine learning",Glasdoor est.,Onsite,Edinburgh,Scotland
iwoca,3.9,Data Scientist - Ops,7.0,75000.0,"MATLAB, R, Maths, C, Machine learning",Employer est.,Onsite,London,England
Spotify,3.8,"Data Scientist, Programming & Editorial",41.0,124000.0,"Data analysis skills, Tableau, SQL, Data science, Python",Employer est.,Onsite,London,England
LSEG (London Stock Exchange Group),4.1,Data Scientist,20.0,80000.0,"Jira, MATLAB, Power BI, Operating systems, R",Glasdoor est.,Onsite,London,England
CRED,4.1,Data Scientist,26.0,36000.0,"Power BI, Data mining, R, Data analysis skills, Tableau",Employer est.,Remote,,
MLN Security,3.2,Junior Data Scientist,33.0,59500.0,"TensorFlow, SAS, Big data, Java, AWS",Glasdoor est.,Onsite,London,England
PlayStation Global,4.0,Data Scientist,11.0,34000.0,"Tableau, SQL, Data management, Data science, Communication skills",Employer est.,Onsite,London,England
SAVA,4.1,Data Scientist I/II,5.0,47500.0,"Power BI, Signal processing, Git, SQL, Statistical analysis",Glasdoor est.,Onsite,London,England
Volcore,3.9,Graduate Software Engineer / Data Scientist: Forecasting for Electricity Trading,3.0,48000.0,"Cloud infrastructure, Rust, Go, SQL, C++",Employer est.,Onsite,Manchester,England
NatWest,3.9,Data Scientist,3.0,94000.0,"Software deployment, Data analysis skills, Statistical analysis, Maths, Machine learning",Glasdoor est.,Onsite,Edinburgh,Scotland
University of Oxford,3.7,Data Scientist - IDDO,30.0,60500.0,"Presentation skills, Machine learning, Communication skills",Glasdoor est.,Onsite,Oxford,England
Similarweb,3.3,Data Scientist,6.0,48000.0,"Tableau, SQL, Machine learning, IT, Data science",Employer est.,Onsite,London,England
Spotify,3.7,"Data Scientist, Payments Fraud",21.0,62000.0,"Data mining, SAS, Big data, R, Google Cloud Platform",Glasdoor est.,Onsite,London,England
Future Workforce,3.6,Data Scientist,43.0,70500.0,"Spark, Machine learning, Hadoop",Glasdoor est.,Onsite,Macclesfield,England
Tesco,4.0,Data Scientist - Forecasting,18.0,63000.0,"Data mining, Java, Maths, Machine learning, JavaScript",Glasdoor est.,Onsite,Welwyn Garden City,England
C3 AI,3.4,Data Scientist / Senior Data Scientist,16.0,40000.0,"SQL, Statistical analysis, Machine learning, Agile",Employer est.,Onsite,London,England
Sky,2.8,Network Data Scientist,6.0,52500.0,"Power BI, R, Data analysis skills, Tableau, SQL",Employer est.,Onsite,London,England
QA Apprenticeships,3.3,Data Scientist Apprentice,6.0,32000.0,"Data mining, R, SQL, Quantitative analysis, Python",Employer est.,Onsite,London,England
Meta,4.3,"Data Scientist, Product Analytics",31.0,44500.0,"SQL, Machine learning, Communication skills, Python",Glasdoor est.,Remote,,
Deliveroo,3.5,Data Scientist,13.0,48000.0,"TensorFlow, Power BI, Big data, R, Tableau",Employer est.,Onsite,London,England
HSS Hire Group,4.2,Data Scientist (retail/ecom),41.0,56000.0,"Power BI, R, Analysis skills, Machine learning, Data science",Employer est.,Remote,,
ICAS,3.0,Data Scientist,5.0,44500.0,"Power BI, Spark, English, Apache Hive, Data science",Glasdoor est.,Onsite,Edinburgh,Scotland
ION,3.4,Internship - Data Science,40.0,36000.0,"Data mining, Deep learning",Glasdoor est.,Onsite,London,England
British Trust for Ornithology,3.5,Data Scientist,5.0,76500.0,"MATLAB, Internet of things, R, Git, English",Glasdoor est.,Onsite,Thetford,England
Edwards Ltd,3.8,Data Scientist,36.0,47000.0,"Statistical software, R, Data analysis skills, SQL, Analysis skills",Employer est.,Onsite,Burgess Hill,England
Yorkshire Building Society,3.7,Data Scientist,7.0,51000.0,"Machine learning, Natural language processing, IT, Data science, Data visualisation",Glasdoor est.,Onsite,Leeds,England
HMGCC,5.0,Data Scientist,14.0,62000.0,"SQL, Machine learning, Python",Glasdoor est.,Onsite,Milton Keynes,England
Admiral,3.8,Data Scientist,17.0,58000.0,"Docker, Machine learning, Software development, Linux, Communication skills",Glasdoor est.,Onsite,Cardiff,Wales
Intellium AI,4.2,Data Scientist - Intern,43.0,47000.0,Data science,Glasdoor est.,Onsite,Bristol,England
Diaceutics,3.8,Data Scientist,4.0,38500.0,"Data structures, Git, Project management, Machine learning, Deep learning",Glasdoor est.,Onsite,Belfast,Northern Ireland
Oracle,4.1,Senior Data Scientist,44.0,123000.0,"Data mining, R, Machine learning, GitHub, Agile",Glasdoor est.,Onsite,Reading,England
NHS Midlands and Lancashire Commissioning Support Unit,4.3,Data Scientist,20.0,60500.0,"Statistical software, Power BI, R, Tableau, SQL",Glasdoor est.,Onsite,Birmingham,England
Hadrian,3.7,Commercial Data Analyst - Internship,2.0,55500.0,"Relational databases, R, SQL, Statistical analysis, C",Glasdoor est.,Onsite,London,England
Peak AI,4.0,Data Scientist,6.0,33500.0,"Go, Java, Machine learning, Python, Hadoop",Glasdoor est.,Onsite,Manchester,England
Mastercard,3.9,Senior Data Scientist - Financial Crime,40.0,34000.0,"SQL, Data science, Communication skills, Python",Glasdoor est.,Onsite,London,England
Monzo,3.3,"Senior Data Scientist, Payments",13.0,33500.0,"SQL, Machine learning, Data science, Python",Employer est.,Onsite,London,England
PGSM Consulting,4.1,Data Scientist,30.0,50000.0,"Microsoft Powerpoint, Power BI, Microsoft Excel, Tableau, SQL",Employer est.,Onsite,Reading,England
easyJet,4.6,Senior Data Scientist,4.0,33000.0,"Java, SQL, Analysis skills, Machine learning, Python",Employer est.,Onsite,Bedfordshire,England
Medialab Group,1.7,DATA SCIENTIST,26.0,39500.0,"Power BI, Tableau, SQL, Hootsuite, Contracts",Glasdoor est.,Onsite,London,England
Castleton Commodities International,4.2,Data Science Machine Learning Internship (Summer 2025),35.0,58500.0,"Business intelligence, Tableau, SQL, Machine learning, IT",Glasdoor est.,Onsite,London,England
Windranger Labs,4.8,Data Analyst,10.0,70000.0,"R, Git, SQL, Machine learning, Python",Employer est.,Remote,,
Spotify,4.0,"Senior Data Scientist, Learning",4.0,110000.0,"Power BI, Oracle, R, Microsoft SQL Server, Tableau",Glasdoor est.,Onsite,London,England
UserTesting,3.8,Data Scientist,32.0,31000.0,"Power BI, Azure, Selenium, Git, Google Cloud Platform",Employer est.,Onsite,Edinburgh,Scotland
Cromwell Group,4.2,Data Scientist,42.0,44500.0,"TensorFlow, Power BI, Azure, Kubernetes, Tableau",Employer est.,Onsite,Leicester,England
Climate X,4.0,Data Scientist,35.0,56500.0,"Salesforce Marketing Cloud, Tableau, SQL, Analysis skills, Martech",Glasdoor est.,Onsite,London,England
Animoca Brands Limited,3.6,Tokenomics Data Analyst/Scientist,31.0,47500.0,"Machine learning, Data science",Glasdoor est.,Remote,,
AlphaAnalytics Limited,4.3,Data Scientist/Engineer,26.0,65000.0,"SQL, APIs, Regression analysis, Python",Employer est.,Onsite,Chelmsford,England
American Express Global Business Travel,2.8,Senior Data Scientist,35.0,56000.0,"Power BI, Business analysis, Data analysis skills, Tableau, SQL",Glasdoor est.,Remote,,
JNCTION,4.2,Data Scientist / AI Consultant,26.0,40000.0,"Statistics, Big data, Spark, R, NoSQL",Glasdoor est.,Onsite,Farringdon,England
Moneyhub,4.2,Data Scientist,5.0,31000.0,"Microsoft Powerpoint, Power BI, Microsoft Excel, Tableau, SQL",Glasdoor est.,Remote,,
Razorpoint,4.4,Junior Data Analyst,20.0,102000.0,"TensorFlow, Azure, R, Google Cloud Platform, Tableau",Employer est.,Onsite,London,England
Cox Automotive,5.0,Data Scientist,40.0,52500.0,"R, Data analysis skills, SQL, Regression analysis, Python",Glasdoor est.,Onsite,Manchester,England
Medialab,3.9,DATA SCIENTIST,31.0,67500.0,"SAS, Analysis skills, Presentation skills, Machine learning, Data science",Glasdoor est.,Onsite,London,England
Harris Computer,4.1,Data Scientist,35.0,35500.0,"Data modelling, Data mining, R, SQL, Machine learning",Employer est.,Onsite,Gateshead,England
Meta,3.8,Marketing Data Scientist,19.0,74500.0,"French, Spark, Swedish, REST, APIs",Glasdoor est.,Onsite,London,England
Nationwide,4.2,"Associate Data Scientist, Advanced Analytics",19.0,47500.0,"TensorFlow, Microsoft Excel, Data mining, Kanban, SQL",Glasdoor est.,Onsite,Wiltshire,England
Defence Equipment & Support,4.4,Data Scientist,41.0,27500.0,"Machine learning, Natural language processing, AI, Python",Employer est.,Onsite,Bristol,England
FalconSmartIT,4.0,Data Scientist,30.0,68000.0,"Azure, Google Cloud Platform, AWS, Machine learning, Data management",Glasdoor est.,Onsite,London,England
ManyPets,3.5,Lead Data Scientist,14.0,32000.0,"TensorFlow, Azure, R, Google Cloud Platform, Statistical analysis",Employer est.,Onsite,London,England
Robin AI,4.3,Junior Applied Scientist,18.0,49500.0,"TensorFlow, Application development, Machine learning, APIs, Python",Glasdoor est.,Onsite,London,England
Capgemini Invent,4.3,Consultant - Data & AI Strategy - Data Strategy,43.0,67500.0,"TensorFlow, Power BI, Azure, Big data, Spark",Glasdoor est.,Onsite,London,England
Informed Solutions,4.5,Data Scientist,32.0,27500.0,"Power BI, Data analysis skills, Apache Hive, Tableau, Analysis skills",Glasdoor est.,Onsite,Manchester,England
Finz Limited,4.3,AI Intern,18.0,70000.0,"TensorFlow, Azure, Software deployment, English, Google Cloud Platform",Glasdoor est.,Onsite,London,England
Talenting,4.2,Contract Data Scientist,35.0,56000.0,"R, Data analysis skills, Git, SQL, Statistical analysis",Glasdoor est.,Onsite,Oxford,England
Creditsafe,3.2,Data Analyst,4.0,67000.0,"Spark, R, Data analysis skills, NoSQL, Git",Glasdoor est.,Onsite,Cardiff,Wales
SKM Group,4.1,Senior Data Scientist,41.0,70500.0,"Sage, R, SQL, Analysis skills, Project management",Glasdoor est.,Remote,,
The Voleon Group,5.0,Data Scientist (London),38.0,39500.0,"Go, Spark, Data analysis skills, SQL, Analysis skills",Glasdoor est.,Onsite,London,England
COLLAB. Recruitment Ltd,3.2,Data Scientist,40.0,70000.0,"Statistical software, Big data, Data analysis skills, Statistical analysis, Machine learning",Employer est.,Onsite,London,England
Government Office for Science,4.2,Data Scientist,35.0,54000.0,"Azure, Business intelligence, C#, Spark, Data analysis skills",Employer est.,Onsite,London,England
Whatnot,3.0,"Data Scientist, Go-To-Market (UK)",37.0,55000.0,"Big data, SQL, Product management, Communication skills, Python",Employer est.,Onsite,London,England
NatWest Group,4.1,Senior Data Scientist,37.0,58000.0,"Data mining, Deep learning",Glasdoor est.,Onsite,Edinburgh,Scotland
Information Tech Consultants,3.4,Junior Big Data Engineer,5.0,40500.0,"Power BI, R, SQL, Agile, IT",Employer est.,Onsite,London,England
Octopus Energy Group,3.2,Data Scientist - Kraken Field Platform,19.0,45000.0,"Azure, R, Data analysis skills, Google Cloud Platform, SQL",Glasdoor est.,Onsite,London,England
British Trust for Ornithology (BTO),4.4,Data Scientist,5.0,49000.0,"MATLAB, Signal processing, FPGA, Software deployment, C++",Glasdoor est.,Onsite,Thetford,England
Apollo,3.9,Data Science Apprentice,13.0,40000.0,"TensorFlow, Power BI, SQL, Presentation skills, Machine learning",Employer est.,Onsite,London,England
Netstratum,4.0,Data Engineer,5.0,56000.0,"Azure, AWS, Analysis skills, Machine learning, Deep learning",Employer est.,Onsite,Middlesbrough,England
Faculty,3.5,Data Scientist - Radar Systems,44.0,84000.0,"Spark, SQL, Machine learning, Deep learning, Predictive analytics",Glasdoor est.,Onsite,London,England
JD Sports,3.2,Data Scientist,3.0,58000.0,"Software deployment, Data science, Clustering, Communication skills, Python",Glasdoor est.,Onsite,Manchester,England
Thomson Reuters,3.9,"Data Scientist, Reuters",2.0,67000.0,"Elasticsearch, Relational databases, Spark, R, NoSQL",Glasdoor est.,Onsite,London,England
Aimpoint Digital,3.5,"Senior Decision Scientist, UK 2024",3.0,60000.0,"Git, Data science",Glasdoor est.,Onsite,London,England
Gousto,3.7,Data Scientist - Optimisation,33.0,69000.0,"Analysis skills, Machine learning, Financial services, Data science, AI",Glasdoor est.,Onsite,London,England
Corsearch,4.3,Data Scientist,13.0,84000.0,"Natural language processing, Cloud computing",Employer est.,Onsite,London,England
Cievert,3.8,Data Scientist,40.0,50000.0,"Power BI, R, Git, SQL, Analysis skills",Employer est.,Onsite,Gateshead,England
Capita,3.1,Pensions Data Scientist,43.0,24500.0,"Power BI, Azure, SQL, Machine learning, Data management",Glasdoor est.,Remote,,
Propel Together,3.5,Data Scientist – NLP,42.0,62500.0,"Jira, Azure, Git, Tableau, SQL",Glasdoor est.,Onsite,Glasgow,Scotland
City & Guilds Group,4.5,R Shiny Application Developer (Data Scientist),3.0,55000.0,"TensorFlow, C++, Machine learning, Deep learning, Mentoring",Employer est.,Onsite,Wakefield,England
Halfords,3.5,Data Scientist,31.0,43000.0,"Data analysis skills, Presentation skills, Data science, Python",Employer est.,Onsite,Redditch,England
VIOOH,4.0,Data Scientist (DSM),44.0,72000.0,"Jira, TensorFlow, Software deployment, Google Cloud Platform, Tableau",Employer est.,Onsite,London,England
University of Hertfordshire,3.5,Natural Language Processing (NLP) Data Scientist (KTP Associate),14.0,49500.0,"TensorFlow, Git, AWS, Machine learning, Deep learning",Glasdoor est.,Onsite,Welwyn Hatfield,England
Evonetix Ltd,3.6,Software Engineer – Data Scientist / Bioinformatics,21.0,40500.0,"TensorFlow, R, Machine learning, Natural language processing, Conversion optimisation",Glasdoor est.,Onsite,Cambridge,England
MPB,3.6,Data Scientist,36.0,108500.0,"Machine learning, Natural language processing, IT, Data science, Data visualisation",Glasdoor est.,Onsite,Brighton,England
Machine Medicine Technologies,3.9,Data Scientist,32.0,66000.0,"Jira, Bamboo, Kubernetes, Docker, Machine learning",Glasdoor est.,Onsite,London,England
PHASTAR,3.1,Senior Data Scientist,18.0,37500.0,"TensorFlow, Tableau, SQL, Machine learning, Deep learning",Glasdoor est.,Remote,,
HMGCC (His Majesty’s Government Communications Centre),3.3,Data Scientist,14.0,83000.0,"SQL, Product management, B2B, AI, Communication skills",Glasdoor est.,Onsite,Hanslope,England
LogicMonitor,3.5,Data Scientist,25.0,37500.0,"Google Cloud Platform, C++, C, Machine learning, Deep learning",Glasdoor est.,Onsite,London,England
JaJa Finance Ltd,3.8,Senior Data Scientist,37.0,67000.0,"Data mining, Spark, Machine learning, Scala, Natural language processing",Glasdoor est.,Onsite,London,England
Octopus Energy Group,3.7,Product Data Scientist,25.0,61500.0,"TensorFlow, Azure, NoSQL, Test-driven development, Google Cloud Platform",Glasdoor est.,Onsite,London,England
Oxa,4.2,Machine Learning Data Scientist,33.0,47000.0,"Machine learning, Python",Glasdoor est.,Onsite,Oxford,England
ValMIND,4.0,Data Scientist AI/ML,36.0,60000.0,"Microsoft Windows Server, Rust, Relational databases, Microsoft Office, SQL",Glasdoor est.,Onsite,Cambridge,England
Financial Ombudsman Service,3.4,Data Scientist,19.0,58000.0,"TensorFlow, Data modelling, Azure, Big data, Spark",Glasdoor est.,Onsite,London,England
Connex One,4.1,Data Scientist (ASR),34.0,67000.0,"Cloud infrastructure, Kubernetes, Relational databases, Git, Database design",Glasdoor est.,Onsite,Manchester,England
Seopa,4.2,Associate Data Scientist,43.0,50000.0,"Docker, Machine learning, Software development, Linux, AI",Glasdoor est.,Onsite,Belfast,Northern Ireland
Samsung Electronics,3.5,Data Scientist - 6 Month Contract,31.0,49500.0,"Jira, TensorFlow, R, SQL, Analysis skills",Glasdoor est.,Onsite,,
Habitat Energy,3.9,Data Engineer/Machine Learning Ops,11.0,34000.0,"Oracle, Management, R, Microsoft SQL Server, Stata",Employer est.,Onsite,Oxford,England
Intellium AI,2.7,Data Scientist,31.0,74000.0,"Node.js, Data structures, SQL, Statistical analysis, Machine learning",Glasdoor est.,Onsite,Bristol,England
B&Q,3.6,Data Scientist,38.0,56000.0,"Data analysis skills, AWS, UI, GitLab",Glasdoor est.,Onsite,Eastleigh,England
Medicines and Healthcare products Regulatory Agency,2.8,CPRD FTC Data Scientist (OR),7.0,48000.0,"Machine learning, PostgreSQL, Communication skills, Python",Glasdoor est.,Onsite,London,England
Lloyds Banking Group,4.2,Data Scientist,16.0,70000.0,"SQL, Product development, Communication skills, Python",Employer est.,Onsite,Bristol,England
Bicycle Therapeutics,5.0,Senior Translational Data Scientist,42.0,70000.0,"Azure, SQL, Machine learning, Cloud computing, Python",Glasdoor est.,Onsite,Cambridge,England
e.surv,4.1,Data Scientist,35.0,39000.0,"Presentation skills, Organisational skills, APIs, Communication skills, Python",Glasdoor est.,Onsite,Kettering,England
Bumble Inc.,2.9,"Senior Data Scientist, Product Analytics",35.0,35500.0,"TensorFlow, Power BI, Azure, English, Tableau",Employer est.,Onsite,London,England
Specsavers,3.8,Senior Data Scientist,3.0,35000.0,"Machine learning, PostgreSQL, Communication skills, Python",Glasdoor est.,Onsite,,
Creative Artists Agency (CAA),4.3,Data Scientist,30.0,200000.0,"Software deployment, AWS, Maths, Docker, Machine learning",Employer est.,Onsite,London,England
Sentium,4.2,Senior Data Scientist,36.0,83000.0,"Alteryx, SQL, Machine learning, Cloud computing, Communication skills",Glasdoor est.,Remote,,
Walker Fraser Steele,4.5,Data Scientist,37.0,37000.0,"TensorFlow, Machine learning",Glasdoor est.,Onsite,Kettering,England
Vitol,3.1,Data Scientist,44.0,63500.0,"Azure, Big data, Spark, NoSQL, Information security",Glasdoor est.,Onsite,London,England
RAC,3.7,Operations Data Scientist,38.0,64000.0,"TensorFlow, Image processing, Spark, Statistical analysis, Machine learning",Glasdoor est.,Onsite,Walsall,England
Brit Group Services,3.5,Senior Data Scientist,14.0,53500.0,"Power BI, Azure, Waterfall, Big data, Spark",Glasdoor est.,Onsite,London,England
DataSpartan Consulting,3.7,DATA SCIENTIST,38.0,70000.0,"Azure, Data analysis skills, NoSQL, Database design, OOP",Employer est.,Onsite,London,England
Lockheed Martin Corporation,4.2,Data Scientist,37.0,39500.0,"Tableau, SQL, IT, Data science, Communication skills",Glasdoor est.,Onsite,Gloucester,England
Peel Hunt,4.4,Senior Data Scientist,3.0,55500.0,"SQL, Predictive analytics, Python",Glasdoor est.,Onsite,London,England
Convatec,4.0,Data Scientist,30.0,49000.0,"Tableau, SQL, AWS, Market research, Machine learning",Glasdoor est.,Onsite,London,England
Spotify,3.4,"Senior Data Scientist, Parental leave cover (12 months)",11.0,87500.0,"Azure, ATS, Git, Machine learning, Data science",Employer est.,Onsite,London,England
Recruitment Room,4.1,Data Scientist,43.0,31500.0,"Hospitality, Power BI, Data analysis skills, Tableau, SQL",Glasdoor est.,Onsite,London,England
MarketCast UK Ltd,3.4,Data Scientist I,34.0,55500.0,"SQL, AWS, Machine learning, IT, Data science",Glasdoor est.,Onsite,Reading,England
KANTAR,4.4,Data Scientist,35.0,45500.0,"R, SQL, Product development, Machine learning, Google Search Console",Glasdoor est.,Onsite,London,England
Bannatyne,3.9,Data Analyst,11.0,50000.0,"Power BI, Azure, Big data, Spark, Tableau",Glasdoor est.,Onsite,Durham,England
Bloom & Wild,4.1,Data Scientist,34.0,58000.0,"Machine learning, Natural language processing, Data science, Python",Glasdoor est.,Onsite,London,England
Webtures,4.5,Senior Data Scientist,12.0,73000.0,"R, Tableau, SQL, Product development, Data science",Glasdoor est.,Onsite,London,England
Global 4 Communications Limited,3.8,Data Analyst,44.0,81500.0,"R, SQL, Statistical analysis, Maths, Machine learning",Employer est.,Onsite,Horsham,England
Datasource,2.8,Data Scientist,42.0,67500.0,"SAS, Spark, R, Java, SQL",Glasdoor est.,Onsite,Bristol,England
Expedia Partner Solutions,3.8,"Data Scientist II, Product Analytics",31.0,58000.0,"TensorFlow, Azure, Spark, Google Cloud Platform, SQL",Glasdoor est.,Onsite,London,England
Google,3.5,"Senior Data Scientist, Generative AI, Google Cloud",3.0,55000.0,"Machine learning, PostgreSQL, Communication skills, Python",Employer est.,Onsite,London,England
Cooper Parry,3.5,Head of Data & Analytics,4.0,102000.0,"Power BI, R, Git, Tableau, Presentation skills",Glasdoor est.,Onsite,Derby,England
Gamingtec,4.1,Senior Data Scientist,44.0,85500.0,"Management, Machine learning, Software development, Data science, Python",Glasdoor est.,Remote,,
LSL Property Services,3.7,Data Scientist,40.0,69000.0,"Java, SQL, Maths, Machine learning, AI",Glasdoor est.,Onsite,Kettering,England
UK Health Security Agency,3.3,Data Scientist,12.0,67500.0,"Software deployment, AWS, Maths, Docker, Machine learning",Glasdoor est.,Onsite,London,England
Capgemini Engineering,3.5,Experienced Data Scientist/ Software Developer,9.0,43500.0,"SAS, R, SQL, C++, JavaScript",Glasdoor est.,Onsite,Ashby de la Zouch,England
Founding Teams,4.4,Lead AI / ML / Data Science Engineer - UK,10.0,52500.0,"TensorFlow, Azure, C#, SQL, UX",Employer est.,Remote,,
Vitol,4.0,Desk Data Scientist (Crude),41.0,77000.0,"Statistical software, Big data, Data analysis skills, Statistical analysis, Machine learning",Glasdoor est.,Onsite,London,England
HEOR,4.1,Data Scientist,33.0,74000.0,"Data modelling, SAS, Analysis skills, Maths, Machine learning",Employer est.,Onsite,Cardiff,Wales
Lane Clark & Peacock,3.3,Energy Data Scientist,33.0,80000.0,"Power BI, Data modelling, Data mining, Microsoft SQL Server, SQL",Employer est.,Onsite,London,England
NatWest,4.1,Senior Data Scientist,36.0,60000.0,"OOP, C++, C, Usability, REST",Glasdoor est.,Onsite,London,England
Direct Line Group,3.8,Counter Fraud Data Scientist,31.0,60000.0,Software development,Glasdoor est.,Onsite,Leeds,England
Intec Select,4.0,SENIOR DATA SCIENTIST,42.0,62000.0,"Data modelling, SAS, Big data, R, NoSQL",Glasdoor est.,Onsite,London,England
